,n,k,t,speed,g
0,7,4,1,0.5714285714285714,B
1,7,1,3,0.14285714285714285,7F
2,15,11,1,0.7333333333333333,13
3,15,7,2,0.4666666666666667,1D1
4,15,5,3,0.3333333333333333,537
5,15,1,7,0.06666666666666667,7FFF
6,31,26,1,0.8387096774193549,25
7,31,21,2,0.6774193548387096,769
8,31,16,3,0.5161290322580645,8FAF
9,31,11,5,0.3548387096774194,1626D5
10,31,6,7,0.1935483870967742,32DEA27
11,31,1,15,0.03225806451612903,7FFFFFFF
12,63,57,1,0.9047619047619048,43
13,63,51,2,0.8095238095238095,1539
14,63,45,3,0.7142857142857143,782CF
15,63,39,4,0.6190476190476191,1DB2777
16,63,36,5,0.5714285714285714,86E8113
17,63,30,6,0.47619047619047616,37CD0EB67
18,63,24,7,0.38095238095238093,F69AC20921
19,63,18,10,0.2857142857142857,2F30B529D3D5
20,63,16,11,0.25396825396825395,CD930BDD3B2B
21,63,10,13,0.15873015873015872,2759262D5D506D
22,63,7,15,0.1111111111111111,153225B1D0D73DF
23,63,1,31,0.015873015873015872,7FFFFFFFFFFFFFFF
24,127,120,1,0.9448818897637795,83
25,127,113,2,0.889763779527559,547D
26,127,106,3,0.8346456692913385,29301B
27,127,99,4,0.7795275590551181,18A5793F
28,127,92,5,0.7244094488188977,E11CA9B57
29,127,85,6,0.6692913385826772,7767AD3EA6F
30,127,78,7,0.6141732283464567,292C316EEA273
31,127,71,9,0.5590551181102362,12B7F8913932C11
32,127,64,10,0.5039370078740157,F4845518B9582A1F
33,127,57,11,0.44881889763779526,41DA919D9EFB36A699
34,127,50,13,0.3937007874015748,29131F09AC7A1C06EE6F
35,127,43,14,0.33858267716535434,19A1630A2E2E0D166F0C5D
36,127,36,15,0.28346456692913385,D5306D6BFDBC8574719E70D
37,127,29,21,0.2283464566929134,5106DAE17A61E520C606A4E29
38,127,22,23,0.1732283464566929,3921BD09D78037A53FA89AEAE2B
39,127,15,27,0.11811023622047244,1657BC0A307F9382810E59A6D16BB
40,127,8,31,0.06299212598425197,AB31169C84A4DB8F41A8CBB0EBCFBF
41,127,1,63,0.007874015748031496,7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
42,255,247,1,0.9686274509803922,11D
43,255,239,2,0.9372549019607843,16F63
44,255,231,3,0.9058823529411765,1BBA1B5
45,255,223,4,0.8745098039215686,1EE5B42FD
46,255,215,5,0.8431372549019608,1337DD3AD11
47,255,207,6,0.8117647058823529,1C7EB85DF3C97
48,255,199,7,0.7803921568627451,1F36195C443A4E1
49,255,191,8,0.7490196078431373,16CE707E26B6F9977
50,255,187,9,0.7333333333333333,157B5976000B493CE9
51,255,179,10,0.7019607843137254,12CA7239EE08D439812D
52,255,171,11,0.6705882352941176,1B0E46229C4EE1F8C7319F
53,255,163,12,0.6392156862745098,1E810DA40F70569BE7529981
54,255,155,13,0.6078431372549019,1FBE960583ED41BD2A34D37F9B
55,255,147,14,0.5764705882352941,1D1160F75F3AD55887562C8413C9
56,255,139,15,0.5450980392156862,13180F68607DB8DE3A5D853CAEEF25
57,255,131,18,0.5137254901960784,11BCB6CCE6906958AA17F2231050EB39
58,255,123,19,0.4823529411764706,143182A510D807CF4435A9C614B2EA8CB7
59,255,115,21,0.45098039215686275,1855B6B7A2029D679E826017CEAB732E75DF
60,255,107,22,0.4196078431372549,1242FE9A4365732A1EC04EB9E207EBE7A0D921
61,255,99,23,0.38823529411764707,11AEDBAAE767C497861C81BE36955091F4698719
62,255,91,25,0.3568627450980392,1BD0B50C35E487AE9E67A9DAA48F6D1F2E8751C971
63,255,87,26,0.3411764705882353,120BDF38678D3D1D4CE718E7A1321BA5655DB27A2CF
64,255,79,27,0.30980392156862746,1B7003B9FD7D0020B87221DEC7CC8835ADC9FB585C4ED
65,255,71,29,0.2784313725490196,140A722A1A468D36D87A25364E685922A1E56FD1A478C1D
